Gene_Symbol,log2FoldChange,pvalue
ALOX5,2.137027502,4.91E-14
KDM5D,-1.057919546,1.09E-11
CALCOCO1,-1.563459404,1.04E-109
UBR7,0.216809894,0.016183056
MAP4K5,0.719081265,4.33E-06
PSMC4,0.22388492,0.005712535
MAN2B2,-0.774289017,8.30E-33
SLC25A39,0.716860712,1.43E-10
MVP,-0.289395219,7.00E-06
NUB1,-1.762297024,1.28E-142
PGM3,0.529019917,2.00E-06
RWDD2A,0.704111264,0.014136242
CLK1,-0.829258108,1.75E-30
POLR3B,1.146997869,5.65E-08
ANGEL1,0.651700803,6.28E-06
RNF14,0.487578692,3.37E-06
DDX11,0.92311182,8.74E-08
HEBP1,-0.574008346,0.001317205
MAMLD1,-0.338258886,0.048652278
CD6,-1.598192503,6.02E-05
TACC3,0.775111489,8.15E-07
UFL1,0.382273482,2.21E-05
ZC3H3,-0.377721307,0.005700731
CAPN1,-0.232688182,0.001076292
ACP3,2.175838964,5.21E-85
MDH1,0.412019232,8.69E-11
SLC30A9,0.581914443,2.12E-14
COX15,0.708098624,2.10E-09
CCDC88C,-1.124938264,3.66E-18
WAS,-0.4003423,5.78E-05
BID,0.376803026,7.74E-05
MATR3,0.306305901,1.26E-09
NPC1L1,-2.778198096,0.005684934
XYLT2,0.668324686,3.10E-06
NUDCD3,0.287312952,0.009089407
GLT8D1,0.944239419,1.06E-11
ATP2C1,0.218796739,0.001638351
SLC38A5,-0.960960694,1.96E-12
SLC11A1,0.284159755,0.008591511
WWTR1,0.961600443,0.016653753
AGPS,0.855118303,5.64E-19
TTC27,1.497088238,4.83E-12
VSIG2,2.995304386,2.56E-21
PHLDB1,0.669297779,1.11E-11
CD74,-1.890390808,7.56E-285
NCDN,0.691171622,2.37E-08
ADGRA2,-0.659341015,0.011446423
RUNX3,-1.078048422,1.20E-70
MRE11,0.410770044,0.023071736
SERPINB1,-0.644828361,3.94E-09
NRXN3,-1.167083858,8.12E-06
OSBPL5,-1.227882067,6.97E-14
AQR,0.445900702,6.12E-07
FHL1,0.831569255,0.036549918
GABRA1,1.710808741,0.001688586
SLC45A4,-0.396214261,0.029671714
ZDHHC6,0.234824954,0.016514571
GRAMD1B,-0.691705986,7.20E-07
NDUFS1,0.886980392,1.13E-32
RB1CC1,-0.212297635,0.001432548
ERP44,-0.773986948,6.97E-37
ALAS1,-0.244087775,1.24E-06
BIRC3,-0.81996714,1.74E-18
AKAP11,0.622313479,2.71E-17
GLRX2,0.595762876,0.00047567
STRAP,0.93682451,1.01E-21
DEF6,-0.736389472,5.29E-09
PLEKHO1,-0.929741208,1.39E-63
GCLM,0.306903902,0.002980646
EHD2,1.373225455,9.35E-27
DEPDC1,6.941043286,8.26E-11
CCDC28A,-0.534448773,0.000526429
RRAGD,-1.375837386,1.52E-30
PHF20,0.425492993,3.43E-05
NR1H3,-1.905689627,1.81E-50
TYMP,-1.641785954,9.12E-138
NCAPH2,0.571057768,0.000824241
SEC63,0.219648927,0.000252625
KPNA6,0.582233879,3.26E-14
VIM,0.923097315,1.29E-125
RNASET2,-0.268155872,0.043967237
CD44,0.743914367,4.01E-81
AGPAT4,-0.650477478,1.96E-17
SLAMF7,-2.478777184,1.11E-242
MIPEP,0.564510569,0.010107277
SH2D2A,-1.296567536,9.86E-06
TNFRSF1B,-1.289849782,7.24E-177
POU2F2,-0.573019301,1.96E-12
BRD9,0.391930842,1.86E-06
BMAL2,0.360198594,0.000603253
BCLAF1,0.248141746,7.57E-06
SLC39A9,0.387653317,1.73E-06
ANK1,1.930064453,0.011693316
IBSP,4.685538086,0.000136388
TFB1M,0.483874961,0.014169202
BAK1,-0.721525351,5.27E-39
GRN,-1.095030493,3.50E-161
ARHGAP31,-0.241172904,0.003992115
CENPQ,1.421398493,2.07E-10
SARS1,0.124494183,0.031688174
ARID4A,-0.3596034,0.000716765
EIPR1,0.438573437,0.005720474
ALG1,0.666245555,0.004510009
ZCCHC8,-0.634264651,2.63E-08
ABCF2,0.97458875,3.03E-31
CHPF2,-0.133797349,0.048303726
FUT8,-0.760187022,2.56E-25
UBA6,-0.227725719,0.000304761
GAB2,-1.141593253,4.40E-35
ATP6V0A1,-0.211057297,0.007711635
PIAS1,-0.515427565,3.55E-09
SLC4A7,2.18044823,0
APBA2,-0.547727976,0.000555387
NA,2.495647465,3.19E-40
MAP2K3,-0.389185333,3.98E-07
TMSB10,-0.502154352,5.98E-37
RNF19A,-0.367213671,4.15E-09
GABARAPL2,0.337294744,0.001217566
SH3YL1,0.644098735,0.00092558
FAM136A,0.438769018,0.000220576
VCL,0.965232263,1.10E-56
DEPDC1B,4.13562693,7.70E-17
DAPK2,-2.090807734,1.51E-44
NSMAF,-1.08235447,2.76E-58
ADSS2,0.91166787,1.20E-23
STAP1,-2.217224156,1.47E-29
TIMP2,-0.536166257,2.61E-10
RFC1,0.276657655,0.005676904
TBC1D23,0.300493494,7.52E-05
CUL3,0.237910871,0.005091123
MYOM2,-2.713082355,0.003749811
ZZZ3,0.352682378,0.002739812
SLC18A1,-3.23043361,1.08E-06
USP2,-0.425050761,4.96E-06
TUBG2,-0.465043438,0.021577943
RPL26L1,0.443493387,0.04393867
NSUN2,0.357487308,1.97E-09
FBXO42,-0.248199562,0.024627809
MFAP3,0.298658371,0.010452146
PI4K2B,0.366587916,2.05E-05
BOD1L1,-0.232694141,0.001380313
TRIO,-0.904710845,5.38E-92
VCAN,4.150084376,5.17E-26
MSR1,-1.521015012,2.28E-187
MTREX,0.927778692,4.21E-27
DNAH5,1.979751868,0.013137327
ZFYVE16,-0.797436048,1.48E-25
RAI14,0.466307377,9.27E-13
PHLPP2,0.439937599,0.018911496
SPDL1,0.743826895,4.26E-05
SLC66A1,-1.267519391,3.24E-23
CTNS,-1.135826411,6.92E-23
RTN4R,-2.022032267,9.44E-10
INPP4A,-0.202833003,0.022856265
RAB27B,-0.447251567,0.0407753
PSMA4,-0.480333746,1.29E-13
MYO16,3.149724657,0.034991795
LSG1,0.275741734,0.013243752
PARP3,-0.723081672,0.000123772
TNC,1.684465272,3.85E-07
THAP3,-0.750859934,0.003173876
AIFM2,-0.266734581,0.039947546
MED17,0.239499868,0.028473224
CAPG,-1.358000965,1.51E-218
AP2S1,0.515916722,4.93E-10
TG,-1.211130275,2.47E-07
ADAM28,-0.507846185,5.99E-10
JADE2,-1.599531368,5.81E-30
ZIC2,-0.56411726,4.48E-05
LCP2,-1.350687434,9.19E-111
TRIT1,0.574334541,3.72E-12
ADRB1,-0.87371177,0.011716489
CUL7,0.712352064,1.31E-09
HSPA5,-0.230854641,1.40E-10
OFD1,-0.540020489,0.000300593
YTHDC2,0.542437079,0.000201199
ATP6V1H,-0.859618831,8.98E-41
POLR2B,0.7249474,5.06E-33
ATOSA,-0.356265682,0.004141621
TPR,0.43260946,2.82E-10
KATNIP,-0.286146381,0.022742654
DTNBP1,-0.782678463,0.005505086
XK,0.648195699,0.000138379
C12orf4,0.399906353,0.027922893
SCML1,-1.549065736,2.62E-07
MAP4,1.036971925,2.02E-58
HDAC9,-0.168672514,0.000748941
TSPAN17,0.44952597,1.15E-06
NOP16,1.108526931,7.26E-09
SNX29,0.474278492,0.004427597
MRPS10,0.254592845,0.000573886
VPS13D,0.365567947,1.58E-05
CELF2,-0.726431591,7.06E-43
FAM120A,0.396859545,1.53E-10
R3HDM1,0.294807207,0.006824197
COL9A2,-1.406175858,2.06E-112
KITLG,-0.347797537,2.87E-05
ERCC8,1.384308964,1.06E-05
ADAMTS6,2.154656414,8.62E-06
VAMP3,0.442227526,1.18E-07
TNFRSF9,-0.899966018,6.92E-05
LTBP1,2.685275224,9.18E-14
RCN1,0.529750706,8.17E-13
RFC2,0.412234404,0.006354792
ARID1B,-0.515823108,1.91E-14
CLPTM1L,0.370175868,1.19E-08
NEDD4L,1.469061048,4.43E-52
HEXB,-0.679340737,3.50E-34
PTCD2,1.372592279,3.34E-06
JKAMP,0.382142115,2.97E-06
ARHGEF5,-0.958822533,0.048508156
NFE2L3,-0.746528679,5.35E-06
MCUR1,0.816258066,2.67E-06
LETMD1,-0.64130781,4.89E-08
SLC4A8,-0.308689327,0.016115336
PTGER3,1.367474558,0.000281577
BCAR1,0.425265533,6.00E-06
FHIP1B,0.241203866,0.032099187
HOMER3,-0.793905706,8.33E-07
RAD51,2.622367367,2.04E-09
POLQ,3.122751398,3.14E-38
CYBA,-0.829391294,2.79E-73
THOC3,0.616712441,0.003438538
HEBP2,-1.807477254,2.75E-78
MPHOSPH9,0.629888083,4.61E-06
SIKE1,0.154473056,0.035363778
RRP12,0.480303084,3.97E-07
FNIP2,-2.186719902,0
MSMO1,0.516872831,4.75E-10
AKR7A2,-0.414237123,0.00310748
LAMA3,-1.805130393,3.60E-104
ANAPC4,0.359771925,0.003021633
KCNQ1,-0.728258779,0.035403871
PHPT1,0.372873722,0.014347293
LY75,0.662753799,0.044206023
ARID4B,-0.338257488,2.09E-08
OPN3,0.642961401,0.042136551
SDCCAG8,-0.279223504,0.003636621
KIF1B,0.219672285,0.000503847
PLEKHH1,-2.262100149,8.91E-24
ATP9A,-0.326650317,0.001211192
FAM168A,0.689431967,1.06E-10
RELT,-0.644641779,4.06E-07
GALC,0.786970413,2.38E-10
NOP58,0.269534761,0.005074824
CYFIP2,1.489303531,0.001670012
TAB2,-0.213518108,5.03E-05
GINM1,0.373177853,0.00221723
EIF2AK2,-0.583067459,8.19E-44
KMT2C,-0.199140272,0.001311707
MCOLN3,-1.412883554,2.08E-12
CCDC85A,-1.080006126,0.030356384
MRPL43,0.644283313,0.001564712
ZFR,-0.3628248,2.38E-14
NPFFR2,-1.881214775,1.16E-10
PHF21B,-2.220751004,0.018500956
TRAF1,-2.157097077,5.46E-150
RC3H2,0.227746897,0.00392111
TRAF3IP2,-1.312300581,4.31E-29
DCBLD2,1.26724158,7.97E-33
SOAT1,-0.734760532,6.17E-17
PRDM1,-0.959658548,7.82E-36
ATG5,-0.393011442,0.000116777
USP13,1.957090074,2.48E-25
ATP11B,0.16810801,0.011806535
LAMC2,2.494579685,0.000366475
CDK14,1.005425562,1.76E-13
SEC61A1,0.163198996,5.42E-05
PPP1R12A,-0.220187296,0.001207343
RASGRF1,-2.385246936,7.52E-113
CAMK2B,1.001187697,0.007523438
POLR3E,0.618632082,5.75E-05
ATP2B4,1.145779027,2.89E-65
ZC3H11A,-0.288121744,5.36E-08
RIOK2,0.818412347,5.85E-08
YIPF1,-0.227078795,0.038999195
NDC1,2.197503334,6.37E-82
FLYWCH1,-0.556908591,2.26E-05
UNKL,-0.644124969,0.002422438
TBXAS1,-0.546927733,0.003519583
PARP12,-0.879536095,1.18E-44
ALDH18A1,2.104718513,1.52E-49
TARBP1,0.752470944,2.84E-13
MXD1,-1.765688509,1.05E-192
CTDP1,-0.419381567,1.03E-05
WNK1,-0.582764048,3.28E-44
OGFR,-1.265421284,1.10E-61
GNA15,-0.298669732,2.61E-05
PIGV,-0.560889676,0.012771667
COL11A1,2.944759919,0.002743794
QSER1,0.903840624,1.25E-16
MPC1,-0.266184261,0.008034623
ACAA1,0.400110312,0.002012789
BCAT1,-0.572012819,1.14E-38
NCKAP1,0.809904463,2.57E-12
MRPS35,0.930755273,3.41E-20
GUCY1B1,-0.738114646,0.000349985
TNK2,-2.135681799,7.33E-137
GPBP1,-1.109191018,4.93E-64
DGAT2,1.115844081,1.06E-15
CS,0.976916499,3.15E-53
LTK,1.565930445,0.002348639
ELMO2,-0.218846675,0.000959578
VMP1,-0.303842334,1.44E-06
APPBP2,0.243150429,0.014287747
EIF4B,0.864803887,1.36E-47
SLC6A16,-1.381919116,0.016766575
RPL18,0.373892399,4.68E-08
CA11,-0.954886821,0.008357239
ISOC2,0.315499275,0.047706399
MED29,-0.354223222,0.000707716
AHRR,-0.271267076,1.92E-06
MTMR1,-0.437694163,0.031936968
GPC1,-1.267610997,4.09E-14
CASP8,-0.70310411,9.62E-16
TM7SF3,1.349312589,4.19E-40
SPA17,0.686849347,0.013561454
ST3GAL6,-1.334662735,7.11E-21
NGFR,1.362522623,0.034550718
CDON,1.351802435,3.46E-05
TAF2,0.21816114,0.008099395
HIPK2,1.080114587,1.86E-109
TNPO3,0.182354828,0.021291966
RFXANK,-0.756536314,2.21E-11
TMEM161A,0.564648827,0.013435491
LPAR2,-0.937544815,3.23E-10
CTSA,-0.368212626,1.91E-10
SLC12A2,1.032820171,2.45E-08
CNN2,-0.317214735,1.08E-05
ABCA7,-1.28431125,1.15E-11
DDX20,0.324076064,0.001001036
BTBD1,0.276681613,0.000118471
FAR2,0.47096474,3.17E-05
CHI3L2,-2.162670408,0.01494768
SBNO2,-0.403322724,4.43E-09
ANKS1A,-0.885442162,4.90E-31
NTHL1,1.252570125,0.035883925
BLTP3A,-0.675715098,2.33E-31
GNAI3,0.25713636,1.40E-06
IPO5,1.496431148,3.56E-65
OAT,1.454369079,4.71E-55
WDR3,1.666390023,4.80E-58
PKN2,-0.469298935,3.69E-06
WDR18,0.575801229,0.008389105
TRAM2,0.27837226,0.001495684
NTN1,1.334735193,2.03E-09
MCM10,4.559996383,5.76E-34
KARS1,-0.183243946,0.005813411
PDIA5,0.718098846,5.96E-05
TBC1D22B,-0.408988763,0.004377885
SPEN,-0.445960144,1.14E-13
MYLK,2.510078722,2.13E-79
ZC3H15,0.234497305,0.005880849
MAP2K4,0.567858041,8.95E-05
PACC1,-0.32430385,0.014912372
CYB5R4,-0.321943308,0.000452851
SEC61A2,-0.762855814,1.01E-05
PRKCQ,-1.865881681,4.11E-06
FAM107B,0.210250791,0.001567098
ME1,1.07570156,1.07E-17
TBC1D1,-0.359393099,8.63E-06
CDK13,-0.465009734,1.49E-08
MTHFD2,-0.504412548,4.83E-12
SLC9A7,0.425056016,0.003495456
YBX1,0.45920132,4.65E-36
PPP2R5A,-0.249279503,0.015769981
CTNNA2,5.419940462,0.000809518
ELAVL1,0.492681946,1.37E-07
TIE1,2.861472938,8.50E-31
DIP2B,-0.203598204,0.023334495
SMARCD1,0.317472013,0.021478809
KDM4A,-0.702071487,4.81E-43
NFYC,-0.085452921,0.042959396
SLC9A3,-0.808312773,0.000309952
NGEF,1.465657836,0.00011642
ASPM,4.391251129,5.12E-50
CD84,-0.935387916,1.77E-11
ELOVL1,0.346084782,1.47E-12
SPI1,-0.723750423,4.57E-40
POLR1H,1.51526735,0.002932189
ZBTB11,0.474863533,5.46E-06
LRRC40,0.778180722,3.31E-08
EML1,1.245806866,0.00014531
THUMPD1,0.238826354,0.028251768
KIF26A,-2.344438128,0.000149707
ATG2B,0.489236264,3.01E-05
ARFGEF1,0.159130935,0.019352692
MTFR1,0.550755347,6.00E-06
STAG3,-1.769639596,1.34E-06
FECH,-0.49553857,2.17E-05
MYO9A,0.850980894,8.08E-09
PFKP,-0.171759458,0.002544301
SP100,-0.757695286,2.67E-50
KLF6,-0.503600844,5.79E-26
TNFRSF1A,-0.664346701,1.26E-12
EVI5,0.677880931,1.17E-07
DHX29,0.597783195,1.02E-07
TP53BP1,0.518845549,4.55E-09
TRO,-0.649521282,0.023917357
RRP15,1.465461727,5.26E-17
RHOA,0.476769415,6.38E-35
ZFY,-0.816897918,8.88E-07
IARS2,1.217715013,4.14E-58
NAV3,1.89500429,1.19E-28
PDZD4,-0.825267138,0.011608186
ROCK1,0.368826283,7.92E-10
CBFB,-0.573626532,1.10E-19
HYAL2,0.614813815,0.008985737
IFI35,-1.429566716,9.33E-138
HEATR6,0.517817484,0.001922507
COASY,-0.520904065,1.30E-08
PLEKHH3,-0.80311531,0.037073601
MEF2A,0.419511102,3.69E-14
OTUD5,-0.563696934,1.64E-11
TFE3,-0.493929939,3.88E-13
ACSL4,0.125837394,0.002215022
INPP5A,0.408990351,0.018352324
GRIPAP1,-0.953841432,2.81E-29
FTSJ1,0.541523928,9.27E-05
PRR11,1.427226217,1.07E-15
REEP1,2.360426844,4.79E-06
ATP11A,0.254059078,0.000717095
POLR1A,1.081713861,7.30E-33
TTC7A,-0.786111602,1.75E-19
SRBD1,-1.091136389,2.16E-09
NA,0.576334062,2.86E-33
KIF2A,0.494975993,2.37E-06
RASGRP2,-0.916699309,0.00071459
PSME4,0.410332648,2.62E-11
PYGM,-2.196143281,0.003804873
MAST4,-0.873064947,3.93E-17
SDK2,-5.072940761,0.012479597
NUP133,0.907527475,4.24E-18
NUCKS1,0.770960861,2.24E-33
VPS35,0.660072087,5.10E-21
BCL3,-0.674126838,2.46E-05
GAL,-0.417162615,6.48E-05
ATP1B3,-0.287328734,5.20E-07
NEDD4,0.350522865,0.013132961
PIGB,-0.338203876,0.021211679
RAB27A,-0.486707213,5.87E-05
LRP6,0.761171222,0.001700826
ELP1,1.463086392,1.09E-32
NUCB2,-1.289356522,5.49E-39
DAPP1,-2.118909075,1.69E-79
SLC44A1,0.449208144,3.20E-07
TMEM260,-0.403080065,0.007764537
SMG6,-0.491290842,0.000368785
EXOC5,0.416783072,1.84E-10
DGCR2,-0.380262029,0.000477666
MNT,-0.419370102,0.012185245
ZXDC,-0.330671329,0.021009307
WIPI1,1.515835535,8.63E-25
GBA2,-0.30888591,0.003402667
NDST1,0.164108346,0.00208942
ASNS,0.639328244,0.000235039
AP3M2,1.215688247,1.04E-07
ST6GALNAC2,-1.517842729,2.62E-06
PABPC1,0.107383498,0.002347754
TESK2,-1.962041633,8.39E-24
CSNK2A2,0.401081317,2.11E-05
PTPN21,0.48270124,0.031290849
EIF2B3,1.328037369,1.96E-20
CAMK2A,0.938345733,0.046953501
TCOF1,0.999183221,4.66E-15
CDC42,0.164716178,0.000535321
OSBPL3,0.768358126,4.16E-10
RAD18,1.032297983,1.69E-09
ATP2B1,1.570268793,8.72E-273
MAP4K4,0.358553757,8.17E-17
MGAT4A,0.687096963,1.29E-06
RPL31,0.590038399,8.95E-18
WDR1,0.184084112,2.89E-05
SNX13,0.530707244,4.90E-08
RPS6KA2,-0.765858441,7.03E-28
VASH1,0.337691517,7.95E-05
BUD23,0.246510763,0.046636413
SEL1L,0.277382984,1.70E-05
TRIP13,1.753901752,3.23E-26
ATP6AP1,-0.432760698,6.16E-22
TCF3,0.593091761,9.25E-07
TRIB2,0.990443374,1.45E-08
DAZAP1,-0.200160801,0.008125206
MBD3,-0.323012607,0.005931817
HLTF,1.135921197,6.29E-10
FAM50A,-0.288928775,0.006412081
CYBRD1,1.222602046,0.001351193
PDCD2,0.382752237,0.000647427
RDH11,0.376875737,2.95E-05
PRKACA,0.651492687,6.65E-10
ADGRL1,-0.565548666,0.00017903
ACTN1,-0.09051105,0.037767072
ZFYVE26,-1.09850348,9.59E-42
PTPN18,0.459124309,0.004505761
LNX1,1.411749357,0.009881841
ALDH3A2,1.058524229,4.56E-09
TFRC,1.427888622,2.56E-162
SREBF1,-0.757185697,1.55E-19
AFF4,-0.269668371,5.52E-09
PALS1,0.258608261,0.019478541
RHOBTB1,1.975495532,3.81E-12
SMC1A,0.507415603,5.80E-12
HSD17B10,0.628597331,1.61E-05
MARK2,-0.314792676,0.001023482
HMMR,3.867351926,3.77E-28
CHFR,-0.349275399,0.000153175
TRHDE,0.885891297,0.020602245
P4HA2,0.293628933,0.024213341
NFATC3,-0.643312788,3.57E-14
TRNT1,0.523015784,0.001195423
ACADVL,0.725431058,4.40E-32
STK10,-0.891228092,3.55E-75
FBXW11,0.339991849,1.40E-06
ACAP1,-1.186164612,0.007257856
CRMP1,-0.718642934,0.014228747
EVC,-1.003914237,4.21E-16
SIDT1,-3.971161912,1.79E-08
NDE1,-0.487671259,4.89E-05
PVR,-0.23316456,0.017960356
NA,-0.483583848,0.036012763
XRCC1,-0.379502774,8.92E-07
SCARB1,0.535184565,7.42E-09
MCM2,1.70494298,1.90E-37
PANX2,-0.658992852,0.00393496
SELENOO,-0.924091673,1.24E-06
ALPK1,-1.304013553,5.90E-19
PDE8A,-0.481056567,2.16E-05
NLE1,1.461556587,0.000536141
SDHA,0.6887719,6.42E-28
SMARCE1,0.338049937,0.001388656
KDM5A,-0.237841079,0.010158892
ADAM11,-2.06310791,0.00030052
FERMT2,1.263606135,3.29E-22
DHRS9,-2.391927787,1.40E-07
MAP3K13,-1.213849105,6.21E-17
ST6GAL1,-0.857474643,1.36E-13
FRY,-0.89906675,1.30E-25
PICALM,0.249923154,1.54E-06
NSF,0.390858627,8.65E-10
MRPS34,0.375970101,0.005830068
NOTCH3,-1.518544118,0.003686597
CLNS1A,0.72483692,6.33E-09
NCBP3,-0.221706423,0.014339543
ATP2A3,-0.33866196,0.000672724
MGLL,-0.239116095,0.002113993
BCS1L,1.41770793,1.34E-07
NUAK1,-0.913135822,1.94E-10
DPP8,0.288721688,0.001292453
ZNF532,-0.313552767,2.75E-06
SCARF1,-2.436392055,1.07E-26
LMAN1,0.57181643,5.62E-35
HACD3,1.055688149,4.28E-29
IPCEF1,3.1411279,1.23E-107
ZZEF1,0.28797706,3.82E-05
ENO1,0.809066058,3.61E-89
MYDGF,-0.336433931,4.09E-05
ANO8,1.340073975,4.45E-30
TUBE1,-0.733149278,3.84E-05
ARHGEF10L,-0.732149705,0.000328614
TXK,-1.303324118,3.48E-05
KCNQ2,-5.390201285,0.00492329
ACTR6,0.557095665,0.000470636
TIPIN,0.675005208,0.00217978
SRI,1.190554904,4.95E-10
NUP37,1.036979495,0.000152479
SEMA3A,3.183106164,1.11E-44
GTSE1,4.890319528,1.32E-21
SEMA3C,2.797496785,4.45E-30
TTC38,-0.377116759,0.005997217
ACAT1,1.18312757,4.68E-14
SLC25A40,-0.30515243,0.00179385
TIMM21,0.950967715,2.49E-13
ADD2,0.777484004,0.000802454
VPS9D1,-0.765255368,0.000289883
ZNF37A,-0.705306584,0.011158874
MARK3,-0.409169392,8.71E-08
SLC25A3,0.861532646,5.55E-56
FNDC3B,-0.355755542,2.13E-14
FOSL2,-0.708927465,3.92E-44
FSCN1,0.64232541,2.59E-28
